age,n
19,25
20,25.454545454545453
21,22.336769759450174
22,14.351145038167939
23,16.10738255033557
24,14.25260718424102
25,23.416965352449225
26,16.800920598388952
27,15.864022662889518
28,17.426273458445042
29,15.789473684210526
30,14.45993031358885
31,14.399999999999999
32,10
33,12.422360248447205
34,13.157894736842104
35,16.666666666666664
36,8.88888888888889
38,10.526315789473683
39,11.11111111111111
42,20
